"('Attribute', 'schema_name')","('Attribute', 'method_name')","('Attribute', 'dataset_type')","('Attribute', 'dataset_name')","('Attribute', 'curve_name')","('Attribute', 'label_name')","('Attribute', 'online')","('Eval', ('Annotation Error',))","('Eval', ('Jaccard Index',))","('Eval', ('Rand Index',))","('Eval', ('event-based f1 under pa with mode log', 'f1'))","('Eval', ('event-based f1 under pa with mode log', 'precision'))","('Eval', ('event-based f1 under pa with mode log', 'recall'))","('Eval', ('best f1 under pa', 'f1'))","('Eval', ('best f1 under pa', 'precision'))","('Eval', ('best f1 under pa', 'recall'))","('Eval', ('Run Length MSE',))","('Eval', ('Run Length MSRE',))","('Eval', ('Detection Delay', 'delay_mean'))","('Eval', ('Detection Delay', 'delay_std'))","('Eval', ('Detection Delay', 'delay_pct(90)'))","('Eval', ('Detection Delay', 'delay_pct(70)'))","('Eval', ('Detection Delay', 'delay_pct(50)'))","('Eval', ('Detection Delay', 'delay_pct(30)'))","('Eval', ('Detection Delay', 'delay_pct(10)'))"
Naive,BinSeg,TS4CD,AlanTuringTCPD,debt_ireland,RunLength,No,,,,,,,,,,100.41904761904762,10.012781823780859,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ChangePoint,No,2.0,0.5365117521367522,0.8395675043834016,0.1132075471698112,0.06,0.9999999999999997,0.1132075471698112,0.06,0.9999999999999997,290.1186440677966,17.032869519484866,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,ReportPoint,No,,,,,,,,,,,,17.666666666666668,7.845734863959881,25.6,20.799999999999997,16.0,13.2,10.4
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_argentina,RunLength,No,,,,,,,,,,291.35593220338984,17.069151478717092,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_croatia,ChangePoint,No,1.0,0.5018115942028986,0.7300724637681159,0.12499999999999985,0.06666666666666665,0.9999999999999988,0.12499999999999985,0.06666666666666665,0.9999999999999988,92.54166666666667,9.619857933808932,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_croatia,ReportPoint,No,,,,,,,,,,,,10.0,0.0,10.0,10.0,10.0,10.0,10.0
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_croatia,RunLength,No,,,,,,,,,,92.54166666666667,9.619857933808932,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_iran,ChangePoint,No,1.0,0.3836698590782075,0.7247428917120387,0.14790598290598275,0.08000561884832984,0.9999999999999994,0.14790598290598275,0.08000561884832984,0.9999999999999994,359.7672413793104,18.95650977072005,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_iran,ReportPoint,No,,,,,,,,,,,,38.0,2.791103500742244,40.45,39.35,38.25,36.85,35.45
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_iran,RunLength,No,,,,,,,,,,350.56034482758616,18.709549599791128,,,,,,,
