"('Attribute', 'schema_name')","('Attribute', 'method_name')","('Attribute', 'dataset_type')","('Attribute', 'dataset_name')","('Attribute', 'curve_name')","('Attribute', 'label_name')","('Attribute', 'online')","('Eval', 'eval_item')","('Eval', 'value')"
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ChangePoint,No,"('best f1 under pa', 'f1')",0.010785116037405526
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ChangePoint,No,"('best f1 under pa', 'precision')",0.005523017190743691
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ChangePoint,No,"('best f1 under pa', 'recall')",0.8333333333333328
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ChangePoint,No,"('Run Length MSE',)",45020.08612191958
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ChangePoint,No,"('Run Length MSRE',)",207.2161523107071
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ReportPoint,No,"('Detection Delay', 'delay_mean')",33.99761904761905
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ReportPoint,No,"('Detection Delay', 'delay_std')",21.992926074230304
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ReportPoint,No,"('Detection Delay', 'delay_pct(90)')",58.56
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ReportPoint,No,"('Detection Delay', 'delay_pct(70)')",45.059999999999995
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ReportPoint,No,"('Detection Delay', 'delay_pct(50)')",29.1
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ReportPoint,No,"('Detection Delay', 'delay_pct(30)')",18.56
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,ReportPoint,No,"('Detection Delay', 'delay_pct(10)')",11.54
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,RunLength,No,"('Run Length MSE',)",44725.10791180286
Naive,BinSeg,TS4CD,AlanTuringTCPD,bitcoin,RunLength,No,"('Run Length MSRE',)",206.51126165391398
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('Annotation Error',)",3.4
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('Jaccard Index',)",0.598008053755159
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('Rand Index',)",0.9230063109581181
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('event-based f1 under pa with mode log', 'f1')",0.06406431663574506
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('event-based f1 under pa with mode log', 'precision')",0.05233009479431465
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('event-based f1 under pa with mode log', 'recall')",0.7672727272727271
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('best f1 under pa', 'f1')",0.06406431663574506
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('best f1 under pa', 'precision')",0.05233009479431465
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('best f1 under pa', 'recall')",0.7672727272727271
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('Run Length MSE',)",3878.6674698795177
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ChangePoint,No,"('Run Length MSRE',)",59.725306436425456
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ReportPoint,No,"('Detection Delay', 'delay_mean')",105.53050505050506
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ReportPoint,No,"('Detection Delay', 'delay_std')",57.29863510980939
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ReportPoint,No,"('Detection Delay', 'delay_pct(90)')",169.64000000000001
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ReportPoint,No,"('Detection Delay', 'delay_pct(70)')",136.83999999999997
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ReportPoint,No,"('Detection Delay', 'delay_pct(50)')",99.8
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ReportPoint,No,"('Detection Delay', 'delay_pct(30)')",75.88
